,serum,virus,replicate,concentration,fraction infectivity
0,S2H14,Y449H+N501Y,1,400,0.6113
1,S2H14,Y449H+N501Y,1,100,0.8816
2,S2H14,Y449H+N501Y,1,25,0.9173
3,S2H14,Y449H+N501Y,1,6.25,0.971
4,S2H14,Y449H+N501Y,1,1.562,0.993
5,S2H14,Y449H+N501Y,1,0.3906,1.17
6,S2H14,Y449H+N501Y,1,0.09766,0.8987
7,S2H14,Y449H+N501Y,1,0.02441,0.949
8,S2H14,Y449H+N501Y,2,400,0.676
9,S2H14,Y449H+N501Y,2,100,0.8535
10,S2H14,Y449H+N501Y,2,25,1.148
11,S2H14,Y449H+N501Y,2,6.25,0.8917
12,S2H14,Y449H+N501Y,2,1.562,1.006
13,S2H14,Y449H+N501Y,2,0.3906,0.9723
14,S2H14,Y449H+N501Y,2,0.09766,1.039
15,S2H14,Y449H+N501Y,2,0.02441,1.004
16,S2H13,Y449H+N501Y,1,200,0.1747
17,S2H13,Y449H+N501Y,1,50,0.3404
18,S2H13,Y449H+N501Y,1,12.5,0.5526
19,S2H13,Y449H+N501Y,1,3.125,0.9791
20,S2H13,Y449H+N501Y,1,0.7812,0.8816
21,S2H13,Y449H+N501Y,1,0.1953,1.09
22,S2H13,Y449H+N501Y,1,0.04883,0.9642
23,S2H13,Y449H+N501Y,1,0.01221,1.26
24,S2H13,Y449H+N501Y,2,200,0.1684
25,S2H13,Y449H+N501Y,2,50,0.3635
26,S2H13,Y449H+N501Y,2,12.5,0.6069
27,S2H13,Y449H+N501Y,2,3.125,0.808
28,S2H13,Y449H+N501Y,2,0.7812,0.9003
29,S2H13,Y449H+N501Y,2,0.1953,1.257
30,S2H13,Y449H+N501Y,2,0.04883,0.8719
31,S2H13,Y449H+N501Y,2,0.01221,0.9795
32,S2X58,Y449H+N501Y,1,4,0.2024
33,S2X58,Y449H+N501Y,1,1,0.3458
34,S2X58,Y449H+N501Y,1,0.25,0.6989
35,S2X58,Y449H+N501Y,1,0.0625,0.9575
36,S2X58,Y449H+N501Y,1,0.01562,0.7596
37,S2X58,Y449H+N501Y,1,0.003906,1.015
38,S2X58,Y449H+N501Y,1,0.0009766,0.9335
39,S2X58,Y449H+N501Y,1,0.0002441,0.9426
40,S2X58,Y449H+N501Y,2,4,0.2039
41,S2X58,Y449H+N501Y,2,1,0.4346
42,S2X58,Y449H+N501Y,2,0.25,0.7412
43,S2X58,Y449H+N501Y,2,0.0625,0.7816
44,S2X58,Y449H+N501Y,2,0.01562,0.796
